,Title,IMDb_rating,Popularity_score,Genres,Release_year,Duration,Storyline,Box office,Votes
35,Sin City,8,74,"Crime, Thriller            ",2005,124 min,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.","74,103,820",770338
36,Batman Begins,8.2,70,"Action, Crime, Drama            ",2005,140 min,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","206,852,432",1467155
37,John Wick: Chapter 2,7.4,75,"Action, Crime, Thriller            ",2017,122 min,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.","92,029,184",432684
38,Sicario,7.6,82,"Action, Crime, Drama            ",2015,121 min,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,"46,889,293",430706
39,Solo: A Star Wars Story,6.9,62,"Action, Adventure, Sci-Fi            ",2018,135 min,"Board the Millennium Falcon and journey to a galaxy far, far away in an epic action-adventure that will set the course of one of the Star Wars saga's most unlikely heroes.","213,767,512",347993
40,Road House,6.6,36,"Action, Thriller            ",1989,114 min,A tough bouncer is hired to tame a dirty bar.,"30,050,028",75793
41,The Godfather Part III,7.6,60,"Crime, Drama            ",1990,162 min,"Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.","66,666,062",398131
42,Romeo + Juliet,6.7,60,"Drama, Romance            ",1996,120 min,Shakespeare's famous play is updated to the hip modern suburb of Verona still retaining its original dialogue.,"46,351,345",230767
43,The Mask,6.9,56,"Action, Comedy, Crime            ",1994,101 min,Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.,"119,938,730",388049
44,Beverly Hills Cop,7.3,66,"Action, Comedy, Crime            ",1984,105 min,A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.,"234,760,478",186129
45,True Romance,7.9,59,"Crime, Drama, Romance            ",1993,119 min,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.","12,281,500",228285
46,Molly's Game,7.4,71,"Biography, Crime, Drama            ",2017,140 min,"The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target.","28,780,744",173606
47,Red Sparrow,6.6,53,"Action, Drama, Thriller            ",2018,140 min,"Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both nations.","46,874,505",187540
48,The Town,7.5,74,"Crime, Drama, Thriller            ",2010,125 min,"A proficient group of thieves rob a bank and hold Claire, the assistant manager, hostage. Things begin to get complicated when one of the crew members falls in love with Claire.","92,186,262",392190
49,Batman,7.5,69,"Action, Adventure            ",1989,126 min,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.","251,188,924",379031
50,Looper,7.4,84,"Action, Drama, Sci-Fi            ",2012,119 min,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.","66,486,205",577323
51,American Hustle,7.2,90,"Crime, Drama            ",2013,138 min,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia.","150,117,807",480102
52,Polar,6.3,19,"Action, Thriller            ",2019,118 min,"A retiring assassin suddenly finds himself on the receiving end of a hit, contracted by none other than his own employer seeking to cash in on the pensions of aging employees.",,91022
53,Collateral,7.5,71,"Action, Crime, Drama            ",2004,120 min,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,"101,005,703",406320
54,A History of Violence,7.4,81,"Action, Crime, Drama            ",2005,96 min,"A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core.","31,493,782",240609
55,The Many Saints of Newark,6.3,60,"Crime, Drama            ",2021,120 min,"Witness the making of Tony Soprano. The story that reveals the humanity behind Tony's struggles and the influence his family - especially his uncle, Dickie Moltisanti - had over him becoming the most iconic mob boss of all time.",,54849
56,The Sting,8.3,83,"Comedy, Crime, Drama            ",1973,129 min,Two grifters team up to pull off the ultimate con.,"159,600,000",263163
57,Lucy,6.4,61,"Action, Sci-Fi, Thriller            ",2014,89 min,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.","126,663,600",498311
58,American Gangster,7.8,76,"Biography, Crime, Drama            ",2007,157 min,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.","130,164,645",428143
59,Birds of Prey,6,60,"Action, Adventure, Comedy            ",2020,109 min,"After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord.","84,158,461",239775
60,Ava,5.4,39,"Action, Drama, Thriller            ",2020,96 min,"Ava is a deadly assassin who works for a black ops organization, traveling the globe specializing in high profile hits. When a job goes dangerously wrong she is forced to fight for her own survival.","497,747",56450
61,Extraction,6.7,56,"Action, Thriller            ",2020,116 min,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.",,203999
62,Rush Hour,7,60,"Action, Comedy, Crime            ",1998,98 min,"A loyal and dedicated Hong Kong Inspector teams up with a reckless and loudmouthed L.A.P.D. detective to rescue the Chinese Consul's kidnapped daughter, while trying to arrest a dangerous crime lord along the way.","141,153,686",270801
63,Natural Born Killers,7.2,74,"Action, Crime, Drama            ",1994,119 min,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,"50,282,766",236949
64,"Lock, Stock and Two Smoking Barrels",8.2,66,"Action, Comedy, Crime            ",1998,107 min,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.","3,897,569",582818
